Parent_SKU,Item_SKU,Item_Name,Brand,Item_Description,Category,Main_Image_URL,MSRP,Status,Color,Color_Hex_Value,Size,Country_Of_Origin,SourceUrl
wwg-nnt-cat01v-bkp,wwg-nnt-cat01v-bkp,"Leather Slimline Belt, black | NNT Uniforms",NNT,Shop our newest black Leather Slimline Belt. Shop today at NNT Uniforms,Belt,https://www.nnt.com.au/on/demandware.static/-/Sites-wwg-m-nnt-catalog/default/dwe582f83f/images/hi-res/cat01v_bkp_1.jpeg,39.95,Active,,,,,https://www.nnt.com.au/p/leather_slimline_belt/CAT01V-BKP.html?l=au
wwg-nnt-cat1ba-inp,wwg-nnt-cat1ba-inp,"Stretch Wool Blend 2 Button Mid-Length Jacket, navy | NNT Uniforms",NNT,Shop our newest navy Stretch Wool Blend 2 Button Mid-Length Jacket. Shop today at NNT Uniforms,Jacket,https://www.nnt.com.au/on/demandware.static/-/Sites-wwg-m-nnt-catalog/default/dwe7ff8abe/images/hi-res/cat1ba_inp_1.jpg,199.95,Active,,,,,https://www.nnt.com.au/p/stretch_wool_blend_2_button_mid-length_jacket/CAT1BA-INP.html?l=au
wwg-nnt-cat1e9-gry,wwg-nnt-cat1e9-gry,"Linen Look Half-Lined Jacket, grey | NNT Uniforms",NNT,Shop our newest grey Linen Look Half-Lined Jacket. Shop today at NNT Uniforms,Jacket,https://www.nnt.com.au/on/demandware.static/-/Sites-wwg-m-nnt-catalog/default/dw11ec4e0f/images/hi-res/cat1e9_gry_1.jpg,159.95,Active,,,,,https://www.nnt.com.au/p/linen_look_half-lined_jacket/CAT1E9-GRY.html?l=au
wwg-nnt-cat1h8-nav,wwg-nnt-cat1h8-nav,"Crepe Stretch Longline Jacket, navy | NNT Uniforms",NNT,Shop our newest navy Crepe Stretch Longline Jacket. Shop today at NNT Uniforms,Jacket,https://www.nnt.com.au/on/demandware.static/-/Sites-wwg-m-nnt-catalog/default/dw264db85c/images/hi-res/cat1h8_nav_1.jpg,189.95,Active,,,,,https://www.nnt.com.au/p/crepe_stretch_longline_jacket/CAT1H8-NAV.html?l=au
wwg-nnt-cat26a-chp,wwg-nnt-cat26a-chp,"Poly Viscose Stretch Pleat Straight Skirt, black | NNT Uniforms",NNT,Shop our newest black Poly Viscose Stretch Pleat Straight Skirt. Shop today at NNT Uniforms,Skirt/Dress,https://www.nnt.com.au/on/demandware.static/-/Sites-wwg-m-nnt-catalog/default/dw247442af/images/hi-res/cat26a_chp_1.jpg,74.95,Active,,,,,https://www.nnt.com.au/p/poly_viscose_stretch_pleat_straight_skirt/CAT26A-CHP.html?l=au
wwg-nnt-cat2mg-inp,wwg-nnt-cat2mg-inp,"Stretch Wool Blend Panel Pencil Skirt, navy | NNT Uniforms",NNT,Shop our newest navy Stretch Wool Blend Panel Pencil Skirt. Shop today at NNT Uniforms,Skirt/Dress,https://www.nnt.com.au/on/demandware.static/-/Sites-wwg-m-nnt-catalog/default/dwac5fade8/images/hi-res/cat2mg_inp_1.jpg,94.95,Active,,,,,https://www.nnt.com.au/p/stretch_wool_blend_panel_pencil_skirt/CAT2MG-INP.html?l=au
wwg-nnt-cat2nh-nav,wwg-nnt-cat2nh-nav,"Helix Dry Pencil Skirt, navy | NNT Uniforms",NNT,Shop our newest navy Helix Dry Pencil Skirt. Shop today at NNT Uniforms,Skirt/Dress,https://www.nnt.com.au/on/demandware.static/-/Sites-wwg-m-nnt-catalog/default/dw3bbaff13/images/hi-res/cat2nh_nav_1.jpg,44.95,Active,,,,,https://www.nnt.com.au/p/helix_dry_pencil_skirt/CAT2NH-NAV.html?l=au
wwg-nnt-cat2rl-bkp,wwg-nnt-cat2rl-bkp,"Stretch Cotton Chino Skirt, black | NNT Uniforms",NNT,Shop our newest black Stretch Cotton Chino Skirt. Shop today at NNT Uniforms,Skirt/Dress,https://www.nnt.com.au/on/demandware.static/-/Sites-wwg-m-nnt-catalog/default/dw238cba36/images/hi-res/cat2rl_bkp_1.jpg,54.95,Active,,,,,https://www.nnt.com.au/p/stretch_cotton_chino_skirt/CAT2RL-BKP.html?l=au
wwg-nnt-cat38z-chp,wwg-nnt-cat38z-chp,"Stretch Wool Blend Secret Waist Pant, black | NNT Uniforms",NNT,Shop our newest black Stretch Wool Blend Secret Waist Pant. Shop today at NNT Uniforms,Pant,https://www.nnt.com.au/on/demandware.static/-/Sites-wwg-m-nnt-catalog/default/dwacd49997/images/hi-res/cat38z_chp_1.jpg,104.95,Active,,,,,https://www.nnt.com.au/p/stretch_wool_blend_secret_waist_pant/CAT38Z-CHP.html?l=au
wwg-nnt-cat3km-nav,wwg-nnt-cat3km-nav,"Ponte Knit Slimline Pant, navy | NNT Uniforms",NNT,Shop our newest navy Ponte Knit Slimline Pant. Shop today at NNT Uniforms,Pant,https://www.nnt.com.au/on/demandware.static/-/Sites-wwg-m-nnt-catalog/default/dw4e6e7dfc/images/hi-res/cat3km_nav_1.jpg,79.95,Active,,,,,https://www.nnt.com.au/p/ponte_knit_slimline_pant/CAT3KM-NAV.html?l=au
